Job Title,Company,Salary,Job Type,Location,Job Description,Posted Date,Today Date,Listing Date
"Senior Gas/LNG Analyst
",FGE-FACTS Global Energy,,,Singapore,"Overview
FGE is an international energy consultancy specializing in world-class independent research and analysis of the energy markets. We are a team of experienced professionals with a wide range of international clients such as energy companies, financial institutions, trading houses, utilities, and governments. We offer the full suite of research and consulting services including reports and presentations, data and analytics solutions, and bespoke consulting engagements.

What awaits you
This current opportunity is to join FGE’s Gas/LNG team in Singapore. We are a team that provides leading-edge market analysis to our clients with a focus on commercial insight. As the world embarks on its decarbonization journey, it is paramount to understand energy systems in a holistic context. We apply a variety of modelling techniques and incorporate both quantitative and qualitative information to underpin our forward-looking view.
The entrepreneurial spirit of the Gas/LNG team allows for a dynamic working environment that enables the company to adapt and develop its products in line with changes within the industry. This dynamism also allows the company to provide unrivalled organic growth opportunities to candidates with a proven ability to develop and expand the business.
Team members are exposed to a wide variety of on-the-job training opportunities based on their progression and as part of FGE’s ongoing activities. Our team leverages members’ strengths and interests to keep individuals engaged while producing relevant research for our clients. There is ample room for further career development, to anchor and lead key elements of research coverage.


The Role and Responsibilities
The ideal candidate would be a member of the Gas/LNG team to ensure that our views and published research are timely, comprehensive, coherent, and insightful. The key deliverables include:
Formulate timely and forward-looking views of key market developments and their impact on natural gas and LNG markets.
Generate commercially relevant market insights and deliver them to clients via written reports and presentations.
Develop and maintain supply and demand models to forecast gas and power balances in downstream markets.
Source for and incorporate a variety of quantitative and qualitative data to ensure the timeliness and accuracy of FGE’s analysis.
Support bespoke consulting engagements as well as the development of FGE’s research products and databases.
Collaborate with FGE’s international offices and various experts to deliver a consistent and coherent view of the energy markets.
Engage with clients to understand different perspectives and ensure that FGE’s research is relevant and insightful.
Act as the subject matter expert on specific markets or segments of value chain and communicate key findings to the team.


Applicant Requirements
We are looking for highly motivated individuals who are passionate about the energy sector and the energy transition. The ideal candidate will have experience in natural gas, LNG, or power markets. Experience in oil or commodity market analysis or trading analytics is also welcomed. The key requirements and qualifications include:
Able to do independent research and work with a project team.
Pro-active in suggesting research ideas and improving existing analytical tools.
Able to distil key findings into clear visualizations and concise narratives.
Excellent report writing and presentation skills.
Able to multi-task and perform in a deadline-driven environment.
Comfortable working with Microsoft Office (Word, Excel, PowerPoint, Outlook).
Candidates must be legally entitled to work in Singapore.
0 to 5 years of working experience. Having a background in energy or commodity market research and analysis will be advantageous.
Fluency in English is essential. Fluency in Mandarin or other Asian languages is a plus.
Experience with data analytics, visualization, and automation tools is a plus (e.g., Power Query, Power BI, etc.).
Opportunistic hires will be placed in appropriate positions according to their experience and skill sets.


How Do I Apply for This Position?
If you are interested in applying for this position, and you meet the above requirements, please submit your application through our Online Application Form . Unfortunately, due to the high number of applications we receive, we are only able to contact applicants who have been selected for interview. Please note, we are only able to process applications that include a CV. Those without will not be processed.

Years Experience:
3+ years of experience.
Seniority Level:
Senior Analyst
Salary:
Competitive salary, to be based on skills / experience / talent. Potential for generous bonuses.
Benefits:
T.B.C.
Date Posted:
Tuesday, August 1, 2023",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Risk Management Analyst
",ITCAN Pte Ltd,,"Permanent, Full-time, Contract",Singapore,"Independently assess the effectiveness of SDLC and Change Management controls, determine the impact of control issues, identify corrective action, and track issues to closure
Perform risk assessments, regulatory and compliance assessments for services and processes.
Work with stakeholders to remediate any identified weakness or deviations.
Develop and deliver reports and metrics for management reporting.
Work with stakeholders within Institutional Banking Group and Future Ready Technology to manage IT risks and comply with regulatory requirements.
Requirements:
Background in audit (with a focus on Change delivery and Agile concepts) with 2-5 years of experience, preferably in the Banking and Financial services industry.
Job Types: Full-time, Permanent, Contract
Benefits:
Professional development
Schedule:
Day shift
Monday to Friday",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Analyst, Third Party Risk, Risk Mgt Dept ",Sumitomo Mitsui Banking Corporation,,"Permanent, Full-time",Singapore,"Third Party Risk Management as a 2nd Line function
Implementation of risk governance and regulatory compliance frameworks and processes in APAC for assessing, monitoring and reporting of third party risks inherent in business operations
Upkeep and operationalize Third Party Risk Management Framework, including formulation and maintenance of policies, procedures and standards to meet regulatory requirements
Work closely with stakeholders in the 3 lines of defence to implement appropriate risk governance/oversight, design/determine/establish metrics like KRIs, implement controls and promote best practices that drive third party risk management and regulatory compliance
Coordinate third party risk management efforts and manage Governance, Risk and Compliance (GRC) activities across the APAC Offices and with HO to drive timely completion of third party risk deliverables and resolution of key risk issues
Communicate technical concepts to non-technical audience and senior management and lead efforts to cultivate and promote a strong third party risk culture and ensure adherence to third party risk management policies, procedures and standards

Responsibilities
Operationalize Third Party Risk management framework (vendor governance and compliance framework, risk identification/ monitoring/ reporting, policies, procedures, standards) and exercise oversight of all third party risk management activities.
Design, determine and establish KRIs, implement risk control measures and best practices (eg. Due Diligence for Third-Party Service Providers/Outsourcing arrangements).
Drive timely completion of third party risk deliverables and resolution of key risk issues.
Perform assessment of third party risk incidents, issues and trends, communicate technical concepts to non-technical audience and provide advisory as Subject Matter Expert (eg. For new product applications, outsourcing of services and engagement of third party vendors and service providers).
Cultivate and promote a strong third party risk culture.
Requirements
Good knowledge of outsourcing/third party and operational risk requirements and industry standards.
Minimum 2 years experience in outsourcing, procurement, vendor/ third party or operational risk management, preferably in banking or financial services.
Certifications such as CTPRP, CTPRA, CISSP, CRISC, CRCM would be advantageous.
Good project management skills and experience.
Ability to perform gap analysis of third party risk management policies and processes against new regulatory requirements and guidelines.
Self-starter and a critical thinker.
Proactive, resourceful and able to think and act strategically and tactically.
Able to multi-task and work independently under tight timelines.
Strong oral and written communication skills.
Strong stakeholder management skills.
Culturally sensitive.",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Inventory Controller Analyst
",NEXCOMM ASIA PTE. LTD.,"$3,000 - $5,000 a month ", Full-time,Singapore,"Job Description

Maintain and oversee accurate Singapore & Overseas inventory record
Identify and investigate inventory discrepency
Reconcile Inventory
Tracking inbound and outbound orders to prevent overstocking and out-of-stock (OOS)
Analyzing and reviewing supply chain data to identify and resolve issues
Liase with Sales and Operations if there is any issue in inventory

Job Requirements

Very meticulous and detail-oriented
Self Discipline & Good mental mindset
Ability to Multitask and Initiate in a fast-paced and challenging Environment
At least 2 years of experience in inventory control/shipping/operations or similar
Knowledge in SAP Business One system
Diploma or Bachelor's Degree in logistics, business administration or similar preferred
- Good in mathematics & statistics - sentive to numbers
Good analytical and logistical thinking abilites
Execeptional understanding of inventory management practices such as ABC analysis and cycle counting
Execellent collaboration and negotiation abilities
Able to start work immediately will be good",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"DATA ANALYTICS (Health)
",RESOURCE HUNT PTE. LTD.,"$9,000 - $10,000 a month ", Full-time,Singapore,"Health Analytics Manager
Join our team and help us transform the health industry with data-driven solutions.
Job Summary
As a health analytics manager, you will support the objectives of health strategy, develop a roadmap and use cases that align with it, and lead the delivery of health analytics products. You will work closely with data science and data engineering teams to leverage data and insights to improve health outcomes and customer experience. You will also collaborate with business stakeholders and external partners to understand their needs and provide actionable recommendations.
Key Responsibilities
Define and execute the health analytics strategy and roadmap, ensuring alignment with Prudential's health vision and goals.
Manage the end-to-end delivery of health analytics products, from ideation to deployment, ensuring quality, timeliness, and scalability.
Work with data science and data engineering teams to design, develop, and test data models, algorithms, and pipelines that support health analytics use cases.
Work with business stakeholders and external partners to understand their requirements, challenges, and opportunities, and provide data-driven solutions and insights.
Communicate and present health analytics findings and recommendations to senior management and relevant audiences, using clear and compelling visualizations and narratives.
Stay abreast of the latest trends, technologies, and best practices in health analytics, and identify opportunities for innovation and improvement.
Qualifications
Bachelor's degree or higher in data analytics, data science, statistics, mathematics, computer science, or related field.
At least 8-10 years of experience in data analytics, data science, or related role in the insurance or health industry.
Familiarity with end-to-end analytics solutions build and servicing, code writing, and code testing best practices is essential.
Experience in translating business problems into data and analytics solutions and influencing senior stakeholders and business partners in their adoption.
Communication and presentation abilities to convey complex technical concepts to non-technical stakeholders.
Proficiency in programming languages and tools (e.g. Python, SQL, Spark)
Understanding of cloud-based data platform and analytics technologies (e.g., Azure, Databricks, MLflow)
Ability to work independently and in a team, and to handle multiple tasks and deadlines.
Passionate about improving health outcomes and customer experience through data and analytics.",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"APAC Business Planning Analyst
",UNITED PARCEL SERVICE,,Full-time,Singapore,"Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are roles ready to cultivate your skills and take you to the next level.
Job Description:
The Business Planning Analyst is a member of the Regional Business Planning and Reporting team and reports to the Business Planning Assistant Manager. He/She frequently works with data and analyzes factors contributing to the organization’s financial performance. Key tasks of this role is to support the Marketing Team with detailed data analysis with insights, maintenance of database, report generation and forecasting.
Job Responsibilities:
Reviews data requests to correctly identify and understand the information needed
Provides data implications of analyses and serves as a subject matter expert to ensure understanding of findings and gain commitment
Prepares final reports with key findings and updates to provide a value added deliverable to senior management
Manipulates and combines data accurately to answer business questions
Utilizes forecasting techniques to produce logical and appropriate forecasts
Updates the forecasting model to reflect new initiatives, trends, or rate change
Automates processes where appropriate to increase process efficiency and accuracy
Job Requirements:
Possess a degree qualification in Finance & Accounting, Mathematics, Economics, Computer Science or similar disciplines.
Proficient in Microsoft Office applications, with hands-on skills in data analysis using Access, Excel and PowerPoint.
Knowledge of Python would be advantageous.
Prior experience with data visualization tools (Tableau, PowerBI) is preferred.
Demonstrate strong business and financial analysis, project management and communication skills.
Possess 2 to 4 years of relevant working experience in a similar role or industry is a plus. However, fresh graduates are welcome to apply.

Employee Type:

Permanent

UPS is committed to providing a workplace free of discrimination, harassment, and retaliation.",PostedToday,2024-03-21,2024-03-21 00:00:00
"LNG Data Analyst – Singapore
",Kpler,,Full-time,Singapore,"At Kpler, we simplify global trade information and provide valuable insights. Founded in 2014, our goal is to help over 10,000 organisations by offering the best intelligence on commodities, energy, and maritime through a single platform.

Working at Kpler means you'll be a key player in turning complex data into strategic resources for our clients. Your role involves creating data-driven stories that empower clients in their industries.

Your expertise helps Kpler navigate markets successfully. Your journey starts here, where innovation meets impact. Join our team of 500+ talented people from 35+ countries worldwide.

Kpler is looking for an experienced Analyst in Singapore to help support and further develop our industry-leading LNG products. Our constantly evolving offering spans a wide range of market data including cargo-tracking, inventories, and freight.
Your mission is to:
Monitor the Kpler LNG platform and constantly ensure the highest level of accuracy and timeliness of our data. This will involve daily checking, structuring, and analysis of cargo-level data.
Maintain and expand a comprehensive dataset relating to the LNG market.
Collaborate with the product and technical teams to improve Kpler data quality and further develop our portfolio of client offerings, including LNG bunkering.
Work closely with the global sales teams to demonstrate the value of Kpler’s solutions to the industry.
Follow the main events occurring in the LNG market, track specific trends impacting global trade flows, and build a network of contacts in the industry.
Regularly interact with prospective/existing clients to help them extract as much value from our products as possible.

You could be a good fit if you..
Have an undergraduate degree in Economics, Finance, International Trade or Engineering related fields.
Have at least 3 years of experience as an Analyst (or a similar role) covering the LNG market (experience working within the broader commodities industry will also be considered).
Are a highly motivated individual, a self-starter who will be passionate about owning responsibilities upholding the trusted accuracy and agility of the Kpler data.
Are skilled at carrying out complex analysis across multiple datasets using appropriate tools.
Have advanced Excel skills, and a good understanding of SQL and other languages such as Python or VBA.
Demonstrate strong capabilities in logical thinking with attention to detail.
Have experience working with large, disparate and/or unstructured data
Possess excellent analytical ability, at ease with working with databases and able to highlight trends and use complex data to support decisions.
Are an effective team player, quick learner and able to cope with short deadlines across different simultaneous projects with minimal supervision.
Have great communication and interpersonal skills, able to effectively discuss various technical and business topics with internal and external stakeholders.
We're a dynamic company dedicated to nurturing connections and innovating solutions that tackle market challenges head-on. If you're driven by customer satisfaction and thrive on turning ideas into reality, then you've found your ideal destination. Are you prepared to embark on this exciting journey with us?

we make things happen
We act decisively and with purpose, and we like to go the extra mile.

we build together
We foster relationships and develop creative solutions to address market challenges with cool features and solutions.

hey, how can i help you today?
Being accessible and supportive to colleagues and clients with a friendly approach is essential.

Our People Pledge

Don’t meet every single requirement? Research shows that women and people of color are less likely than others to apply if they feel like they don’t match 100% of the job requirements. Don’t let the confidence gap stand in your way, we’d love to hear from you! We understand that experience comes in many different forms and are dedicated to adding new perspectives to the team.

Kpler is committed to providing a fair, inclusive and diverse work-environment. We believe that different perspectives lead to better ideas, and better ideas allow us to better understand the needs and interests of our diverse, global community. We welcome people of different backgrounds, experiences, abilities and perspectives and are an equal opportunity employer.

By applying, I confirm that I have read and accept the Staff Privacy Notice",PostedToday,2024-03-21,2024-03-21 00:00:00
Business Analyst ,The Software Practice,,Full-time,Singapore,"We are looking for Business Analysts to join our team - we will work together to design, implement and deliver mission-critical web and mobile applications for our clients. It is imperative that our software applications are designed to be robust, secure and future proof, especially given our portfolio of customers. We would like to tap on your experience, knowledge and resourcefulness to deliver world-class solutions for our clients.
Responsibilities
Work as a key member of the project team to ensure the project maintenance and enhancement are smooth and successful.
Collaborate with client stakeholders (IT team and business owners) and internal stakeholders (project management, business management, development and quality assurance).
Analyze and synthesize business requirements; and build suitable business cases and generate client/business needs through human-centric, visual methods for maintenance project(s).
Analyze the impacts of requested changes, and conceptualise and recommend appropriate solutions that continuously address changing business needs.
Evaluate and recommend suitable technology for software enhancement while aligning with the company’s and client’s technology directions, including Tech Stack, cloud-based, enterprise architecture and modernization of legacy systems.
Conceptualize business processes and present it visually using workflow diagrams and slide decks to effectively communicate complex ideas and concepts.
Develop user stories, functional/technical specifications and acceptance criteria.
Document and present findings in the form of workflow diagrams, specifications and other project specific documentation.
Manage the project timeline, plan and prioritise tasks.
Support the software enhancement cycle to ensure smooth deployment, adoption and operations.
Create informative, actionable and repeatable reporting that effectively presents progress and status of different aspects of the project to different stakeholders.
Identify new opportunities for the company’s digital transformation.
Requirements
Diploma/Degree in Computer Science, Infocomm Technology, Computer or Electronics Engineering with excellent academic records or outstanding professional or personal achievement.
Minimum 4 years of proven experience as a Business Analyst in a software delivery project, with a focus on maintenance projects with Agile Methodology in the software industry.
Prior relevant experiences e.g Business Analysis, Project Management, IT business analysis, application solutioning design and testing.
Excellent analytical, conceptualisation and problem-solving skills.
Excellent verbal and written communication skills with the ability to pitch ideas.
Strong influencing and people management skills.
Ability of visualizing workflows and translating them into digital mediums e.g. Word, PowerPoint, and Excel.
Meticulous and detail oriented with excellent documentation skills.
A driven and motivated personality with aptitude for analysis.
Strong and avid interest in web and mobile applications.
Being a pro-active, self-motivated and resourceful team member with good tech/digital knowledge.
The following would be a “plus”
Prior experience in managing multiple maintenance projects simultaneously.
Knowledge or experience in implementing projects in at least one of the following areas - Data Analytics, Agile Methodologies, Cloud, Internet and Mobile Technologies, Customer Relationship Management, Knowledge Management and Service Design.
Business Analysis certification, e.g. Certified Business Analysis Professional (CBAP).
We seek your understanding that only shortlisted candidates will be notified.",PostedToday,2024-03-21,2024-03-21 00:00:00
"Intern, Data Analyst
",Bosch Group,,"Full-time, Internship",Singapore 573943,"Company Description

Robert Bosch (South East Asia) Pte Ltd is a regional subsidiary of the Bosch Group, representing the Group's interests in Southeast Asia where it is present in all ASEAN member countries. Business operations in these countries report to Robert Bosch (South East Asia) Pte Ltd, located in Singapore. Bosch has been present in Southeast Asia since 1919, with diversified businesses in the company's four business sectors - Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. Bosch's strategic objective is to improve quality of life with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.”
At Bosch, we care. For you, our business, and our environment.

Let’s turn visions into reality. At Bosch,we shape the future by inventing high-quality technologies and services that spark enthusiasm and enrich people’s lives. Our areas of activity are every bit as diverse as our outstanding Bosch teams around the world. Their creativity is the key to innovation through connected living, mobility or industry. Our responsibility goes far beyond business. We’re independent of stock markets and bound to the purpose of the Robert Bosch Foundation; our success directly benefits society, the environment, and future generations. Our promise to our associates is rock-solid: we grow together, we enjoy our work, and we inspire each other. Join in and feel the difference.

Let’s be remarkable.

Job Description

Main Tasks:
Conducting sales data collection and analysis
Quoting and managing product pricing
Supporting the sales team with business enquiries and administrative matters
Analyzing data and drawing meaningful insights to improve sales and processes
Conduct projects with different stakeholders to support and drive sales
Assisting in preparation of presentation slides and other SAP-related sales support activities
Creating analytics reports for KPI reporting (Monthly Customer Reports, Quality Reports)
May also include:
Planning and hosting of marketing events
Collaborating with 3rd party agencies for social media campaigns
Designing and archiving marketing materials
Coordinating with 3rd party vendors for various tasks
Supporting functions of regional teams for problem solving
Other administrative tasks on ad-hoc basis

Qualifications
Advanced proficiency in Microsoft Excel, Word and PowerPoint
Able to work full time for a period of at least 6 months
Ability to communicate in fluent English
Comfortable with data-handling
Mature, motivated, takes initiative, and strong willingness to learn
Strong communication and cross-functional collaboration skills
Able to multi-task and work independently with high level of responsibility to complete tasks in a timely manner
Able to work in a multinational and cultural diversified environment
Positive & pro-active work ethic, must be a self-starter
Knowledge of Power BI, SAP, VBA Macros is preferred
Experience in creating reports and managing data is preferred
Relevant Studies: Business, Economics, Marketing, Engineering, Information Systems, Computer Science, and other related disciplines.

Additional Information
Candidate should fulfil the visa requirements for employment in Singapore
http://www.mom.gov.sg/passes-and-permits/work-pass-exemption-for-foreign-students
Applicant must be enrolled throughout internship period, or plan to pursue further studies
For foreign students studying overseas, you must be eligible for the Work Holiday Programme (WHP)
http://www.mom.gov.sg/passes-and-permits/work-holiday-programme/eligibility",PostedToday,2024-03-21,2024-03-21 00:00:00
Summer Internship 2024 ,Munich Re,,Internship,Singapore,"Summer Internship 2024 - Data Analyst & BI Intern
Company
Munich Re
Location
Singapore , Singapore
Munich Re Group is one of the world’s leading providers of reinsurance. As pioneers in risk assessment, we drive the digital transformation of the global insurance landscape, expanding products and services as new forms of risk emerge. From space rocket launches to cyber-attacks, from high-net worth individuals to pandemics, we take care of risks so our clients can take care of their businesses.

Join us this Summer for our Structured Internship Program from May to August 2024. In addition to gaining valuable work experience alongside industry experts, you will also benefit from ongoing engagement, career development and networking activities.

You will be part of Munich Re’s Regional AI/Analytics Team (RAC) in Singapore, and will provide valuable support to the data analytics team. The RAC supports Munich Re’s Asia-Pacific (including China and Australia), Middle East and Africa Life and Health business region. As such you will work in an agile and innovative area, gaining exposure to a wide variety of business problems and solving them with AI and Data, other teams of Munich Re, clients and geographies.

Your Role
Work with complex insurance data sets from across the value chain such as sales, underwriting, claims and risk
Conduct multivariate analytics via BI tools/ Coding in Python & R and working with cloud resources to generate business insights and dashboard/reports
Support the research and development of new machine / deep learning use cases
Support an Agile project team consisting of Business Experts, Actuaries, Data Scientists, BI experts and Data Engineers within the regional analytics team.
Work with various stakeholders across the whole APAC region, including Middle East, Japan and Africa.
Research industry best practices and coming up with practical solutions to help develop and/or improve business.
Support ongoing projects and R & D initiatives which span across the entire insurance value chain
Help prepare high quality demos on various platforms to demonstrate analytical capabilities

Your Profile
Pursuing a Master’s degree in data science / artificial intelligence, data analytics, statistics, computer science, information technology, or a comparable discipline
Knowledge and experience creating reports / dashboarding
Hands-on experience on BI tools such as Power BI or Tableau or QlikView
Strong theoretical knowledge of AI, ML and DL methods
Strong MS Excel knowledge (can write advanced macros)
Hands-on coding experience with at least one programming language such as Python/ R
Familiarity with tools such as Dash, RShiny or Streamlit is a plus
Knowledge of Azure DevOps is a plus
Capacity for innovation, forward-looking, meeting realistic timelines, and enjoy working in a team
Able to effectively explain analysis, both verbally and in writing, and translate analysis into a clear business plan

At Munich Re, we embrace, and value, the interaction of diverse backgrounds, experience, perspectives and thought. This interaction is the foundation of our open culture, spirit of partnership, of how our teams are built and cultivated, and of how we are supported and developed. And at the centre of this interaction is each of us.
Apply now!",PostedToday,2024-03-21,2024-03-21 00:00:00
Data Compliance and Access Operations Senior Analyst ,TikTok,,,Singapore,"Responsibilities
About TikTok
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.

The Global Security Organization provides industry leading security and privacy services to ByteDance globally. Our organization uses four principles that guide our strategic and tactical operations. First, we champion trust and transparency, leading the charge in organizational transparency and execution of security and privacy capabilities that drive customer trust. Second, we are a business catalyst and enabler, embodying the DNA of technical innovation. Third, we drive risk informed and empowered decision making, giving our business leaders the information needed to make key decisions. Finally, we proactively identify and reduce risk while enabling innovative product development – to consistently build sustainable world-class security capabilities.

TikTok is seeking a Senior Analyst for Access Approval Operations to be part of the Data Protection team and will be responsible for overseeing operations and management of data access and data transfer requests to ensure they are in compliance with relevant company policy, geographical regulation, contractual commitments, and confidentiality requirements. This role reports directly to the Access Management and Compliance Lead within the Global Security Organization.
The candidate must be skilled in conducting technical analysis of access policies, rules, and permissions as well as evaluating appropriateness of roles and transactions. The candidate must also have the ability to communicate well, motivate and lead cross-functional teams independently, participate in coordinating response and defensive actions as it relates to identity and access assurance, and disseminate security information as appropriate in support of TikTok's critical business, go to market, and operational infrastructure needs. The candidate will develop, select, and motivate highly effective employees to execute TikTok's business model.

Responsibilities
Design and implement data access requirements and controls as necessitated by business needs and regulations
Design the organization's role-based access control scheme and rationalize existing groups
Design and implement the access review process, ensuring that access is reviewed regularly, both for appropriateness of access as well as privilege levels for all users
Understand the access management policies and procedures and the implications on TikTok's business model
Build and review technical and functional requirements for in-house or external technologies to support access management and assurance needs
Interact with users to define access standards and/or necessary modifications to new or existing access policies or roles in support of data security standards
Evaluate access request business justifications to align with the principle of least privilege and defined policies for access approvals
Understand defined data categories and data transfer rules, and the implications on TikTok's regional regulatory obligations
Evaluate business requests for data transfer based on interoperable needs, to align with regional legal and regulatory requirement
Serve as access management liaison and interact with cross-business line applicants to communicate access standards and/or gather required information
Design, implement and maintain new review procedures and continually update internal documentation involving new regulatory, company, and reporting requirements
Establish, track and report operational metrics to senior leadership
Address emergency access related matters reported within on-calls
Coordinate escalations and address any blockers to appropriate cross-business line stakeholders
Qualifications
Minimum Qualifications
Bachelors’ Degree or industry equivalent work experience
2-4 years experience working in cybersecurity or information security
Must have a strong understanding of:
Data classification and concepts of data minimisation
Access management tools, processes, and procedures. User access administration, role and policy-based access controls, including identity management, provisioning and de-provisioning access, Privileged access management (PAM) tools, Access reviews for appropriateness and authorization. Interpretation of numeric data and statistical principles and industry standard frameworks & IAM tools
Familiarity with regulatory data privacy landscape (e.g., GDPR, CCPA)
Must have ability to design and queries, database access management across multiple types (e.g., MySQL, Redis, MongoDB)
Preferred Qualifications
Ability to operate in fast-paced environments and pivoting priorities while demonstrating the ability to quickly adapt in the face of constantly evolving cybersecurity challenges or non-standard situations
Must possess a high degree of integrity, be trustworthy, and have the ability to lead and inspire change
Must possess the ability to perform under pressure, within time/budget constraints to solve problems, adjust quickly to shifting priorities, and make decisions with limited information
Be flexible in working hours to support a shift work schedule (morning, day, evening)
Ability to support escalations reported in on-call rotations to ensure timely incident response
Ability to communicate technical concepts to a broad range of technical and non-technical staff
Ability to communicate and work closely with colleagues in different time zones
Demonstrate teamwork and collaboration skills, in particular in leading or contributing to global and multi-functional teams
Strong analytical/problem-solving skills and cross-functional expertise across multiple IT operational and security disciplines
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",PostedToday,2024-03-21,2024-03-21 00:00:00
"Business Analyst (French Speaker)
",Gravitas Recruitment Group,"$6,500 - $9,500 a month ", Contract,Singapore,"Job details
Location
Singapore
Salary
S$6500 - S$9500 per month
Job Type
Contract
Ref
BBBH146569_1710927481
Working Environment
Hybrid
Posted
about 18 hours ago

Job summary
Job Description:
We are looking for a techno-functional Business Analyst with proficiency in French language. The ideal candidate should have experience in the finance industry and ...
Job Description:
We are looking for a techno-functional Business Analyst with proficiency in French language. The ideal candidate should have experience in the finance industry and must be proficient in data visualisation tools.
Key Responsibilities:
Analyse, capture, and assess risk for key business processes and functions
Translate business needs to technical specifications
Facilitate discussions with business users
Requirements:
Experience in Data Visualisation tools like Tableau, Power BI, Qlikview, Cognos etc
Experience in writing SQL queries
Fully fluent French speaker
Experience in the finance industry is preferred
About Gravitas Recruitment Group
Gravitas Recruitment Group is a trusted leader in the recruitment industry, recognised for its rapid growth and reputation for excellence. Launching in 2010, Gravitas has rapidly expanded its operations from 3 to 9 offices, boasting over 250 employees globally. Our technology team spans Singapore, dedicating themselves to assisting skilled professionals in their quest for career advancement, whether that be in contract, permanent, or temporary roles.",PostedToday,2024-03-21,2024-03-21 00:00:00
"Investment Analyst
",Reeracoen Singapore Pte Ltd,"$4,000 - $6,500 a month",,Singapore,"Job Description
Our Client is a family-owned fund management company. They are currently looking for an Investment Analyst.

【 What you will be doing 】
Monitor fluctuations in macroeconomic policies, economic conditions, regulatory frameworks, market liquidity, and other relevant factors, analyze market trends, and assess potential impacts.
Continuously monitor industry development trends and the operational dynamics of key companies in real time, ensuring timely communication and reporting.
Foster extensive industry connections, exchange research findings with investment banks, securities firms, and other institutions, and engage in discussions on trending topics, to formulate investment recommendations.
Utilize big data tools to delve deeply into targeted industries' fundamentals, facilitating the identification of industries ripe for investment.
Develop financial models and utilize advanced data analysis tools to conduct thorough research on the fundamental aspects of targeted industries, aiding in the identification of investment-worthy sectors.
Qualifications
Requirement
【 What they are looking for 】
(Must)
Minimum university degree or above in finance/statistics/economics or related fields.
2-3 years of relevant experience as a buy-side research analyst preferably with a verifiable documented track record of strong stock picking performance, capable of independently conducting industry research projects.
Excellent numerical comprehension and strong analytical abilities
Having strong analytical skills, being sensitive to numbers, and possessing experience in computer programming for data processing is preferred
Fluency in Mandarin and English is necessary for effective stakeholder communication.
English Level
Other Language
Additional Information
Benefit
【 What they are offering 】
AWS
Bonus (Depends on company and individual performance)
Annual Leave: 14 days
Medical Leave: 14 days
Medical & Dental benefits are covered and an e-card will be provided.
Lunch reimbursement of $10 per pax if they come for work on that day before 11 am
Working Hour
09:00 ~ 18:00
Holiday
Job Function
Fund/Investment Management
Other(Finance)",PostedToday,2024-03-21,2024-03-21 00:00:00
