job title,description,company,salary range,url
Analyst,Achieve your fullest potential with opportunities to build your technical expertise and hone your competencies in diverse domains. You can also exp...,Defence Science and Technology Agency (DSTA),,
Data Engineer (PowerBI/Python),"Stay up-to-date with emerging trends and technologies in data engineering and PowerBI.
Manage projects from POC to production deployment.
Primarily...",ASTEK Singapore Innovation Technology Pte. Ltd.,,
Big Data,"Big Data (Full Time)
Location In Singapore: Islandwide
Salary(SGD): 6000 - 10000
Apply
Job Description:
· Analysing requirements, designing, develo...",Goldtech Resources Pte Ltd,,
"Business Intelligence Executive - Business Intelligence, Quality",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Junior Data Patching Administrator,"a. Perform the data rectification as detailed in Service Requests (SR). Where required, clarify requirements in the SR with the requester or other ...",OPUS IT Services Pte Ltd,,
Data Science Engineer /Chemical Manufacturing Industry!,"- Plan, manage and lead data science projects",TempServ Pte Ltd,"$4,000 – $4,800 per month",
"Brand Analytics Intern, Regional Brand Partnerships (Spring 2024)",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Video Analytics System Specialist,System Design and Implementation:Collaborate with clients to understand their security needs and design a video analytics system that meets their s...,MTS SYSTEMS ENGINEERING PTE. LTD.,,
"Manager, Marketing - Audience Intelligence (Senior Data Analyst)","If you love working with technology to create solutions and are not afraid to roll up your sleeves to get things done, you will find your tribe her...",FOODPANDA SINGAPORE PTE. LTD.,,
Internship - Data Engineer,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
Assistant Analytics Specialist,"This role will gather, analyse and interpret data to monitor market trends, gather competitive intelligence and generate sourcing opportunities",Lidl & Kaufland Asia Pte. Limited,"$3,800 – $5,000 per month",
Intern - Finance Technology Transformation,"• Assist with integration, data transformation and migration for core ERP migration project
• Particpate in testing and verfication, including hand...",Singapore Post Limited,,
BI Consultant,"Responsible for collecting, processing, and integrating data from multiple sources, analyse the data and produce the required output in data visual...",Goldtech Resources Pte Ltd,,
"Assistant / Manager, Finance",-,SingHealth Polyclinics,,
Internship – Product Engineering: Data Scientist,"The student, as part of the Product Engineering team, will be involved in development, optimization and maintenance of automation projects, related...",Infineon Technologies,,
"HRBP (Regional, Data Analytics, HR Policies)","We are looking for an experienced HRBP who has handled regional HR responsibilities, taking a consultative approach to different BU Managers/Heads.",Future Electronics Inc (Distribution) Pte Ltd,,
Junior Data Patching Administrator,5 days work week,OPUS IT Services Pte Ltd,"$3,500 – $3,800 per month",
Big Data Architect,"Develop and implement data ingestion, processing, and storage solutions using Big Data technologies.
Optimize data pipelines for performance, scala...",Unison Consulting Pte. Ltd.,,
Senior Machine Learning Research Manager,"The Machine Learning team is responsible for delivering tangibly intelligent devices across all current and future product categories at Dyson.
Wor...",Dyson Operations Pte Ltd,,
"Deputy/Assistant Director, Environmental Risk Management",You will be part of a team responsible for the formulation and implementation of supervisory initiatives on environmental risk management for Singa...,Public Service Division,,
"Assistant Manager, AIO Management Decision Support Office","At NUHS Academic Information Office – Management Decision Support Office, we support the organisation in drawing meaningful insights and develop au...",National University Health System,,
"Enterprise Analytics, Specialist / Consultant (Business Intelligence)","Join us today as Enterprise Analytics, Specialist / Consultant (Business Intelligence) today!
Someone who is passionate about pushing boundaries fo...",AIA SINGAPORE PRIVATE LIMITED - GOH HOCK CHYE SAMUEL,,
"Vice President, Portfolio Management","Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding tale...",WORLDQUANT (SINGAPORE) PTE. LTD.,,
"Platform Solutions Developer (Reputable Bank, 12 months, Central)","Reputable bank looking for front office developer, proficient in Python, SQL, Tableau and Excel! Central area, 12 months contract.",RecruitFirst Pte. Ltd,"$8,000 – $12,000 per month",
"VP, Chief Analytics Officer, Asia",This position is responsible for supporting the execution of regional and local strategy by leveraging analytics and serve as a catalyst to optimiz...,Manulife (Singapore) Pte Ltd,,
Data Scientist (Contract),You will be part of the analytics team providing accurate information and analysis results to management and clinical departments.,Ng Teng Fong General Hospital,,
Analyst Programmer (Project Management Office),"a. Prepare Variation Agreement (VA) documents for Change Requests (CRs) and seek approval from Authority.
b. Maintain the master CR lists and provi...",OPUS IT Services Pte Ltd,,
SAS Data Science AIML Program - Data Analyst Trainee,"SAS is committed to nurture qualified, capable individuals, and deepening the skills amongst fresh graduates and young working professionals to be ...",SAS Institute Pte Ltd,,
Data Analyst,"At Pylon.AI, we believe in passion, teamwork, innovation, and simplicity. We strive to create a harmonious environment that fosters collaboration, ...",PYLON.AI PTE. LTD.,,
Data Engineer Intern,Offers an excellent opportunity for individuals with a strong passion for data and eager to gain hands-on experience to expand project exposure.,IFS Capital Group,"$800 – $1,200 per month",
"Machine Learning Researcher, LLM Agent","About ByteDance Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, includin...",BYTEDANCE PTE. LTD.,,
Machine Learning Researcher - LLM Agent,"About ByteDance Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, includin...",BYTEDANCE PTE. LTD.,,
"Consultant / Senior Consultant, Business Consulting","•       Conduct assessments of internal controls, identifies areas of improvement in business processes to better manage business risks•      ...",RSM Singapore,"SGD 3,500 - 4,900",
P&C Associate Director / Director – Pricing and Data Science,"You will be responsible to drive the development of the P&C Product, Pricing, Claim and Underwriting (PPCU) and Data Science proposition in Southea...",Willis Towers Watson (WTW) - Insurance Services,,
"Intern - Data Science & Engineering, SMAI","Deploys data science models and lead the end-to-end life cycle, including solution design, development, deployment, model maintenance and monitorin...",MICRON SEMICONDUCTOR ASIA OPERATIONS PTE LTD,,
"Director, Data Science","At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the compan...",AMERICAN EXPRESS INNOVATION LABORATORIES LIMITED (SINGAPORE BRANCH),,
Visiting Fellow (Statistics and Data Science),The Department of Statistics and Data Science at the National University of Singapore invites applications for Departmental Postdoc Positions. Thes...,Yale-NUS College,,
Data Science Research Fellow (Heat Resilience & Performance Centre),Data Science Research Fellow (Heat Resilience & Performance Centre),National University of Singapore,,
"Manager, Machine Learning Engineer, Group Market and Enterprise Technology",-,United Overseas Bank Limited (UOB),,
AI and Machine Learning Engineer,"As an ML Systems Engineer, you will play a fundamental role in building our state-of-the-art machine learning platform. You will get the chance to ...",Hewlett Packard Enterprise,,
Manager of machine learning,Hawksman Technology is working with an exciting technology venture dedicated to transforming the interaction between brands and consumers in Southe...,Hawksman Technology,,
"Scientist, AI,ISCE2",Innovating at the nexus of chemistry and biotechnology for sustainable chemical manufacturing and bioproducts development,"Agency for Science, Technology and Research (A*STAR)",,
AI Engineer,"Support the production of scalable and optimised AI or machine learning (ML) models.
Focus on building algorithms for the extraction, transformatio...",ANTCHAIN TECHNOLOGY PTE. LTD.,,
AI/ML - NLP Engineer,"Imagine what you could do here. At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring p...",Apple Inc.,,
Senior Machine Learning Engineer - PaidAds,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Senior AI Engineer,"Conduct research and experimentation to explore new approaches and techniques in AI and computer vision, applying findings to enhance algorithm cap...",Black Sesame Technologies (Singapore) Pte Ltd,,
Machine Learning Researcher - LLM Agent,"Our NLP team focuses on natural language generation, improving the reasoning ability of language models, such as machine translation, natural langu...",BYTEDANCE PTE. LTD.,,
Data Engineer Intern,Intern will be playing a key role in the revamp of existing data pipelines and building new pipelines that are essential for data analyst/data scie...,Razer Inc.,,
Machine Learning Engineer - Paid Ads (Campus Recruitment 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Senior data engineer / developer - trading technology,"You'll be working at the intersection of trading and technology to transform markets around the world.
Requirements
Have 2-9 years of work experien...",Hunter Bond,,
Promotion Algorithm Data Engineer - Marketplace Intelligence and Data,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
R&D AI Engineer,Identify/plan/realize deep learning and AI business models.,LITE-ON SINGAPORE PTE LTD,,
Lead Data Scientist II,"Involves providing unique, high impact, technical or expert advice to directors or officers within a region or internationally. Data Science; Advan...",Federal Express (S) Pte Ltd,,
Quantitative Analyst,"As a Quantitative Analyst in the blockchain industry, you will play a pivotal role in developing sophisticated quantitative models and analytical t...",TXT TECHNICAL PTE. LTD.,,
Regional Risk & Compliance Modeling Intern - Digital Banking (May to Aug 2024),--,SHOPEE SINGAPORE PRIVATE LIMITED,,
Quantitative Researcher,"The quantitative researchers design and backtest trading models, which form the most important elements in the final trading strategies. They work ...",DYNAMIC TECHNOLOGY LAB PRIVATE LIMITED,,
Backend Engineer Intern - Data Infra (Summer 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Engineer,"• At least 5 years of experience working as a data engineer or backend developer in a big data field.
• Solid working knowledge of implementing the...",TECHNOPALS CONSULTANTS PTE. LTD.,,
Senior data management professional - data engineer - events,"Our Events and Transcripts Data team is seeking a Data Engineer to help us drive the data set forward. The team provides our users with complete, a...",Bloomberg Singapore Pte. Ltd.,,
Data Science Intern to Perm,"This internship offers hands-on experience working on data science projects for our clients. As an intern, you'll gain valuable skills in understan...",Bioquest Advisory,,
Professional Officer (All Levels) in Generative AI (SPICE),"Experienced in developing machine learning and generative AI solutions for deployment into production.
Strong proficiency in Python and AI framewor...",Singapore Institute of Technology,,
Temporary Executive (Statistics and Data Science),Temporary Executive (Statistics and Data Science),National University of Singapore,,
AI Scientist/Research Scientist,"Research and develop large language model powered product and systems, primarily within the mental health related area.
Work with data scientist/en...",SHANDA GROUP PTE. LTD.,,
Research engineer,"As a key member of our AI team, your primary responsibilities will revolve engineering challenges around building high-quality multimodal models, s...",HYPERGAI PTE. LTD.,,
Internship - Artificial Intelligence/Machine Learning (Finance),"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
"Senior Data Engineer - Backend Development , Python , ETL","Banking environment
Competitive remuneration package",TRUST RECRUIT PTE. LTD.,"$8,000 – $10,000 per month",
Assistant Trainer - Data Science & AI,A graduate or experienced Data professional.,Institute Of Data Pte. Ltd.,,
NLP Engineer (Thai Language Specialist) for AI Singapore (Products),Natural Language Processing Engineer (Thai Language Specialist) for AI Singapore (Products),National University of Singapore,,
Data Scientist,Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes an...,MICRON SEMICONDUCTOR ASIA OPERATIONS PTE LTD,,
Data Architect,"Responsible for data management across multiple data systems: data governance, data mastering, meta-data management, data definitions, Symantec-lay...",Dyson Operations Pte Ltd,,
Data Engineer - Marketplace Intelligence and Data (Campus Recruitment 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Senior / Principal R&D AI Engineer,"Experienced in scripting programming (python, R or equivalent) Familiar with databases, IOT (Edge/cloud) technologies, IOT protocols is a plus.
Can...",LITE-ON SINGAPORE PTE LTD,,
AI Engineer / Senior AI Engineer (Innovation) for AI Singapore,"We are expanding our team to meet the growing demand for AI solutions and talent in the market. Since our inception in 2017, we have established a ...",Yale-NUS College,,
Product Management Intern (Spring & Summer 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Senior Analyst, Data Science, Health Services Research Centre (2-year contract)",We are seeking a forward-thinking Senior Analyst to pioneer advanced solutions aimed at overcoming challenges in health services delivery.,Singapore Health Services Pte Ltd (SingHealth HQ),,
BigData Architect,"Unison Consulting Pte Ltd is seeking a talented and experienced BigData Architect to join our team. As a BigData Architect, you will be responsible...",Unison Consulting Pte. Ltd.,,
AI Compiler Engineer (Math/System Acceleration and Validation),"We are seeking a talented and motivated AI Math/System Acceleration and Validation Engineer to join our team. In this role, you will be part of the...",Renesas Electronics Singapore Pte. Ltd.,,
"Data Engineer - Backend Development , Python , ETL","Banking environment
Competitive remuneration package",TRUST RECRUIT PTE. LTD.,"$5,000 – $6,500 per month",
Data Scientist Intern,We are seeking interns to support our AI/ML Product Development and Solution Delivery on a short-term basis (3 months) from May to August 2024. Ide...,StarHub Ltd,,
Data Scientist,"Join our dynamic team as we embark on pioneering advancements in data science and advanced analytics. As a key member, you'll play a crucial role i...",NEW TONE CONSULTING PTE. LTD.,,
Senior data management professional - data engineer - events,"Our Events and Transcripts Data team is seeking a Data Engineer to help us drive the data set forward. The team provides our users with complete, a...",Bloomberg Singapore Pte. Ltd.,,
Data Engineer (Banking/ Up to $8000),.,Adecco Personnel Pte Ltd.,$5k - $8k p.m.,
Machine Learning Engineer,We are seeking a dynamic Machine Learning Engineer to expand upon a successful proof-of-concept (POC) and launch our flagship product into the mark...,MedMosaic Pte. Ltd.,,
Software Developer | Python,This position is responsible for the backend development of applications using Python in the company.,Adecco Personnel Pte Ltd.,$5k - $6k p.m. + 1 Month AWS + Performance Bonus,
Data Engineer,"As a key member of our development team, you will play a crucial role in designing, implementing, and maintaining innovative web applications while...",AVN DIGITAL PTE. LTD.,,
Python Engineer,"Experience is processing large amount of data with optimized data pipelines written in python.
Experience in latest libraries and willing to learn ...",THAKRAL ONE PTE LTD,,
Application and Data Engineer,"The Application and Data Engineer is responsible for for Identifying, designing, and implementing process improvements that include building/re-eng...",BRC GLOBAL ROLLS PTE. LTD.-,,
NLP Algorithm Engineer - Marketplace Intelligence and Data,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
[Tech Cooperative Internship] Data Science Intern (6 months),The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company t...,Agoda Company Pte. Ltd,,
Big Data Engineer (Libra) - Data Platform,"Libra is a large-scale online one-stop A/B testing platform developed by TikTok Data Platform .
Provide experimental evaluation services for all pr...",TIKTOK PTE. LTD.,,
Junior Data Scientist,"Junior Data Scientist(JDS) is responsible for supporting Data Science team between business requirements and expectations as shared by business, ri...",Maybank,,
Data Scientist Intern,"Be involved in one of most innovative project done in shipping lines, related to analytics. The intern will have the opportunity to support all the...",One Tech Stop Pte. Ltd.,,
Data Scientist,"You will be part of SATS Data Science team responsible for leading the team's operations in providing Analytics, Business Intelligence and AI/ML so...",Country Foods Pte Ltd,,
"Director, Data Science & AI (ID: 600414)","Lead in the research & development, strategy, architecting, planning and delivery of data science capabilities.",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),"$17,000 – $25,000 per month",
"Backend Engineer (Machine Learning Systems), TikTok Large Model Platform",The Applied Machine Learning - Machine Learning (ML) Systems team provides End to End (E2E) machine learning experience and machine learning resour...,TIKTOK PTE. LTD.,,
Data Scientist,"To be successful in this role you will need …
The following technical skills and experience
• A Masters/Ph.D. in a technical field
• Strong foundat...",Danone Specialized Nutrition (Singapore) Private Limited,,
AI Engineer / Senior AI Engineer (Innovation) for AI Singapore,AI Engineer / Senior AI Engineer (Innovation) for AI Singapore,National University of Singapore,,
Fullstack Developer,"Responsible for the availability or a regular product increment incorporating new features.
Complete all fundamental tasks for the delivery of new ...",Thales Singapore Pte. Ltd.,,
Internship - Digitalization / AI Project for Academy,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
Monitoring Engineer Intern - Engineering Infra (Summer 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Big Data Engineer Intern, Ads Data - 2024 Start - Singapore","TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headq...",TIKTOK PTE. LTD.,,
"Data Architect (3-year contract), IITS","Responsible for requirements analysis, design, development, testing, implementation and maintenance of enterprise-grade analytics system.
Effective...",Singapore Management University,,
Professional Officer (All Levels) in (Generative AI) (SPICE),"Experienced in developing machine learning and generative AI solutions for deployment into production.
Strong proficiency in Python and AI framewor...",Singapore Institute of Technology,,
"AI/ML - Siri Language Engineer, Siri & Information Intelligence","Imagine what you could do here! At Apple, new ideas have a way of becoming phenomenal products, services, and customer experiences very quickly. Br...",Apple Inc.,,
"Intern I4.0 Analyst - Smart MFG & AI, Procurement","You will work with a team of Senior I4.0 Analyst, Data Scientist and Data Engineers, making an important contribution to the design, analysis, and ...",MICRON SEMICONDUCTOR ASIA OPERATIONS PTE LTD,,
Machine Learning Engineer (Architect) - Applied AI,"TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headq...",TIKTOK PTE. LTD.,,
Junior Data Scientist,Data scientist with at least 2 years of hands-on experience.,Manpower Staffing Services (S) Pte Ltd - Head Office,"$4,000 – $4,500 per month",
"VP/AVP, Big Data Engineer, Data Technology, Technology and Operations",Refer a friend Submit a candidate's profile,DBS Bank Limited,,
Senior data engineer / developer - trading technology,"You'll be working at the intersection of trading and technology to transform markets around the world.
Requirements
· Have 2-9 years of work experi...",Hunter Bond,,
ML Engineer,"Conduct reviews for compliance of the ML models in accordance with overall platform governance principles such as versioning, data / model lineage,...",Unison Consulting Pte. Ltd.,,
Data Scientist - Applied AI | Data Solution,"TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headq...",TIKTOK PTE. LTD.,,
Data Scientist,"
A world leading logistics group and supply chain that operates on a cutting-edge analytics platform is recruiting a Data Scientist.",Hays Specialist Recruitment Pte Ltd,,
Senior Data Scientist (GrabMaps),"The Data Science (GrabMaps) team at Grab focuses on building map-based intelligence such as Place-of-Interest (POI) search and recommendation, data...",GRABTAXI HOLDINGS PTE. LTD.,,
AVP - Data Scientist (MLops),"A leading financial and asset management organisation is recruiting a Data Scientist (AVP)
",Hays Specialist Recruitment Pte Ltd,,
Data Scientist - Applied AI,TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices includ...,TIKTOK PTE. LTD.,,
"Big Data Engineer, TikTok",The mission of the Data Platform Singapore Business Partnering (DPSG BP) team is to empower the TikTok Business with data. Our goal is to build a D...,TIKTOK PTE. LTD.,,
Senior Data Engineer,"The Senior Data Engineer will be part of data engineering team which is creating, maintaining, scaling, and improving the enterprise data platform ...",PLOY ASIA PTE. LTD.,,
"Data Scientist, Strategic Programme 4A","Data Scientist (DS) is responsible for end-to-end ML model development, approval, deployment, monitoring and validation process that meets MAS requ...",Maybank,,
"Manager, AI Engineering","Our services span from strategic advisory through to digital, data and AI delivery. Our focus is on harnessing disruptive innovation to unlock econ...",Temus Pte. Ltd.,,
"Data Engineer, Quantitative Strategy","We are seeking a Data Engineer to join our Quantitative Strategy team, to be sited with one of our Agency Data Science/Engineering Teams.
As a Data...",Government Technology Agency of Singapore (GovTech),,
AI/ML Engineer,"Our services span from strategic advisory through to digital, data and AI delivery. Our focus is on harnessing disruptive innovation to unlock econ...",Temus Pte. Ltd.,,
Data Analyst (SQL | Phyton | Data Science| Petrochemical | Oil & Gas) - West,"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,,
Data Scientist (Clinical),"The Data Scientist role is to help the team in driving and maintaining a shared platform for clinical and genomic data recording and analysis, as w...",National Cancer Centre Singapore Pte Ltd,,
Lead AI Engineer,This role will play a critical part in the Data Science workstream within the Analytics Centre of Excellence (CoE). The role is responsible for pro...,Prudential (WM Group- Linda Quah),,
[LTA-RAOM] DATA SCIENTIST / DATA ANALYTICS ENGINEER (PAM&M),"You will work closely with teams from different disciplines within LTA, rail operators, system manufacturers on the data and interfaces of rail ass...",Public Service Division,,
"Data Scientist, Global LIVE - Strategy","1. Responsible for data science work related to the product and operation strategy of TikTok LIVE.
2. Analyse business data in different markets, f...",TIKTOK PTE. LTD.,,
Assistant System Analyst/ System Analyst,Analyze machine data and perform statistical process control (SPC) analysis.,Singapore Epson Industrial Pte Ltd,"$2,800 – $3,500 per month",
Data Engineer,"As a Data Engineer assigned to the Test/Product Department, you will be working with various internal teams to develop Smart Engineering solutions ...",ASE Singapore Pte Ltd,,
"Manager/Assistant Manager, AI Office (2-year contract)",You support the CGH Artificial Intelligence and Digital (AID) Committee and CGH Chief Data and Digital Officer (CDDO) on administrative matters.,Changi General Hospital,,
"Big Data Engineer, Data Platform","As a data engineer in the data platform team, you will have the opportunity to build, optimize and grow one of the largest data platforms in the wo...",TIKTOK PTE. LTD.,,
Analyst - procurement,"You will work with a team of Senior I4.0 Analyst, Data Scientist and Data Engineers, making an important contribution to the design, analysis, and ...",MICRON SEMICONDUCTOR ASIA OPERATIONS PTE LTD,,
Lecturer - Data Engineering [ITE College West],"As a Lecturer, your contributions go beyond teaching and facilitating learning. You will play a critical role in recognising and nurturing your stu...",Public Service Division,,
Data Engineer Intern - 6 months,The person will join the Data Engineering Team in Singapore and will learn and gain insights on how raw data is being processed into something usef...,Gunvor Singapore Pte Ltd,,
Data Science Consultant,"By combining data science fluency with a strong customer focus and consultancy mind-set, you will play a crucial role in ensuring that analytical r...",FEATURESPACE PTE. LTD.,,
AI Engineer,"Support the production of scalable and optimised AI or machine learning (ML) models.
Focus on building algorithms for the extraction, transformatio...",ANTCHAIN TECHNOLOGY PTE. LTD.,,
AI/ML Architect,"Join our rapidly expanding Research & Development team, where we lead the exploration, adaptation, and implementation of the latest advancements in...",Section Pte. Ltd.,,
Data Engineer,"You will collaborate with stakeholders to understand their strategic objectives and identify opportunities to leverage data and data quality.
You w...",Activate Interactive Pte Ltd,,
Python Data Engineer,"You are able to develop, maintain and enhance Python applications processing high volumes of data.
You have experience in Python pandas and Python ...",ZENIKA PTE. LTD.,,
Data Engineer,"We are looking for aspiring Data Engineer/Software Developer to join our product development team, you will be responsible for the design and imple...",Combuilder Pte Ltd,,
Hiring for Big data Consultant,"· Perform necessary aggregations, ranking data using window functions, removing duplicates from source data with spark over the extracted data whic...",Path Infotech Pte Ltd,,
Part Time Lecturer [Data Science],Join our dynamic teaching team at Kaplan Singapore and make a meaningful impact on students' lives!,Kaplan Singapore,$100 – $150 per hour,
Senior Data Scientist,"As an e-commerce and retail startup, we move decisively based on good data and leverage on technological solutions to supercharge our operations. W...",Castlery,,
Data Engineer - Applied AI,"TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headq...",TIKTOK PTE. LTD.,,
Machine Learning Architect,"Have knowledge about Machine Learning and Data Science concepts, tools and automation processes.
Have experience in defining the processes, standar...",ASTEK Singapore Innovation Technology Pte. Ltd.,,
Data Engineer,"As a Data Engineer, you will play a crucial role in optimizing our data ecosystem to bolster analytical insights and inform strategic decisions. Ke...",ORIENT FUTURES INTERNATIONAL (SINGAPORE) PTE. LTD.,,
Data Scientist / Data Analyst,We are seeking a highly skilled and motivated Data Analyst/Data Scientist to join our dynamic team. The ideal candidate will be passionate about tu...,CHARLES & KEITH GROUP,,
"Research Assistant/Associate, Health Data Science [LKCMedicine]",statistics/epidemiology/data science,Lee Kong Chian School of Medicine,,
Data Engineer,-,PSA Corporation Limited,,
Data Science and Analytics Specialist,"Responsible for enabling decision making by exploring the data, recommending actionable insights, and building visualizations, dashboards.
Packages...",Philips Domestic Appliances Singapore Pte. Ltd.,,
Solution Architect - Data & AI - Industry Solutions,"The D&AI Solution Architect works with customer to deliver high ROI solutions with a focus on modern data platforms, analytics, machine learning & ...",Microsoft,,
"Junior Data Scientist (Up $6500, Contract, North) Entry level welcome",-,RecruitFirst Pte. Ltd,"$6,000 – $6,500 per month",
Data Scientist - Applied AI (DCC),"TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headq...",TIKTOK PTE. LTD.,,
"Data Scientist (Junior Level, Up to $6,500, Renewable Contract)","Prior experience in Data Science, Big Data, cloud environment, manufacturing/production environments",RecruitFirst Pte. Ltd,,
Data Engineer,"We are seeking a well-rounded data engineer to join our team. As part of the Global Post Market Quality and Data Analytics team, you will play an i...",Sivantos Pte Ltd,,
Machine Learning Engineer,Combine your understanding of product objectives and take full advantage of modern machine learning and information retrieval techniques to improve...,"Rakuten Insight Singapore Pte., Ltd.",,
"Research Scientist (Power & Energy Systems Modelling), IHPC",Research Scientist ( Power & Energy System Modelling),"Agency for Science, Technology and Research (A*STAR)",,
Research Engineer I [Computer Science/ Programming/ Data Science] (R00016154),-,Nanyang Technological University,,
Staff/Senior Staff Engineer Data Scientist,-,Infineon Technologies,,
Trainee in Data & Operations,"Do you want to contribute to the future of healthcare? As Siemens Healthineers values those who dedicate their energy and passion to this cause, ou...",Siemens Industry Software Pte Ltd,,
Lead Data Scientist,"   Job Purpose   Reporting to the Lead of Data Science, this role is responsible to ensure the successful de ",The Great Eastern Life Assurance Co Ltd,,
"Intern - Business Consulting, Business Transformation (Off cycle Aug - Dec 2024)","Business Transformation is a multi-disciplinary competency, gathering capabilities in transformation architecture, experience design, business desi...",Ernst & Young Solutions LLP,,
Lead Data Scientist,"   Job Purpose   Reporting to the Lead of Data Science, this role is responsible to ensure the successful de ",The Great Eastern Life Assurance Co Ltd,,
Data Science Intern 900101,"Responsibilities: Research on state-of-the-art machine learning, deep learning, social-network data mining and recommendation algorithms with game ...",Tencent International Service Pte. Ltd.,,
DATA ENGINEER,"Build and maintain platforms required for storage, extraction, transformation, and loading of data from a wide variety of data sources.
Improve dis...",SOLVERMIND HOLDING (SINGAPORE) PTE. LTD.,,
LLM platform R&D engineer - AI Innovation Center,TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices includ...,TIKTOK PTE. LTD.,,
Marketing AI Executive,"A Marketing (AI) Executive is responsible for leveraging AI technologies to enhance marketing strategies, campaigns and overall customer experiences.",Superpets Trading Pte Ltd,"$2,500 – $3,500 per month",
"Senior Manager, New Ventures (Venture Building) - AI","We are looking for individual(s) experienced with AI project development/ implementation, to join us as a venture builder at a Senior Manager senio...",Public Service Division,,
AI Project Manager (6 Months Contract),"We are looking for an AI Project Manager on a 6 month contract basis. There is a possibility of further extension depending on business needs.
Role...",ARGYLL SCOTT CONSULTING PTE. LTD.,,
AI Product Counsel,"About ByteDance ByteDance will be prioritizing applicants who have a current right to work in Singapore, and do not require ByteDance sponsorship o...",BYTEDANCE PTE. LTD.,,
Research Fellow for AI Singapore (Research),Research Fellow for AI Singapore (Research),National University of Singapore,,
AI Engineer (Remote),We are seeking a talented AI Engineer with expertise in LLMs on a 2 year contract basis to help in revolutionizing the way people interact with tec...,Tech In Asia,,
System Architect (AI Sub-system),Participate and lead in the system solution design of next generation multi-core multi-chip AI sub-system that scales beyond 1000s TOPS for high pe...,Renesas Electronics Singapore Pte. Ltd.,,
Hardware Architect (AI Sub-system),"We are seeking a talented and motivated Hardware Architect (AI Sub-system) to join our R&D team to own, define, and drive exploration and design of...",Renesas Electronics Singapore Pte. Ltd.,,
Product Operation Manager - AI/LLM Operation,"TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok sponsorship of a visa. TikTok is th...",TIKTOK PTE. LTD.,,
Senior Executive / Assistant Programme Manager for AI Singapore (Innovation),AI Singapore is sourcing for an individual to join the AI Innovation team as an Assistant Programme Manager / Senior Executive. The Assistant Progr...,Yale-NUS College,,
Gen AI Developer,Hiring Gen-AI Developer,Aquis Search Pte Ltd,,
Systems Engineer | AI-HPC,"- Be involved in complex architectural design and development of AI-HPC infrastructure.
- Ensures completeness and compatibility of the technical i...",NovaGlobal Pte Ltd,,
Internship - Enhance Reports & Process via Automation AI,"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,
AI Engineer - Marketplace Intelligence and Data,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Principle Anti-Fraud AI Engineer - Search & Recommendation,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Product Manager (Content Safety) - AI Innovation Business,We are seeking a senior product manager with a focus on community safety. This role requires a deep understanding of industry and user needs to ens...,BYTEDANCE PTE. LTD.,,
Software Engineer (AI Sub-system),We are seeking a talented and motivated Software Engineer (AI Sub-system) to join our R&D team to support the exploration and design of our next ge...,Renesas Electronics Singapore Pte. Ltd.,,
